time,Lat,Lon,Alt,pressure,temp,humidity
12:46:24,420276514,-936541730,265773,99407,-719,62482
12:46:26,420276504,-936541737,265905,99407,-720,62499
12:46:29,420276489,-936541741,265801,99407,-720,62499
12:46:31,420276472,-936541750,265880,99407,-724,62454
12:46:33,420276464,-936541758,265785,99409,-725,62501
12:46:36,420276455,-936541774,265909,99411,-727,62478
12:46:38,420276447,-936541791,265841,99409,-730,62446
12:46:41,420276434,-936541814,265707,99409,-732,62467
12:46:43,420276445,-936541829,265702,99409,-735,62451
12:46:45,420276428,-936541838,265786,99407,-737,62494
12:46:48,420276431,-936541845,265980,99409,-736,62468
12:46:50,420276442,-936541847,265912,99411,-737,62501
12:46:53,420276444,-936541852,265748,99407,-736,62590
12:46:55,420276441,-936541849,265684,99409,-737,62669
12:46:57,420276435,-936541838,265474,99407,-736,62791
12:47:00,420276424,-936541837,264970,99405,-735,62840
12:47:02,420276432,-936541827,265040,99407,-735,62892
12:47:05,420276440,-936541824,264871,99407,-734,62975
12:47:07,420276453,-936541824,264903,99405,-734,63054
12:47:09,420276456,-936541826,264477,99405,-732,63143
12:47:12,420276532,-936541762,266433,99401,-731,63227
12:47:14,420276595,-936541699,268194,99401,-731,63326
12:47:17,420276660,-936541668,269696,99399,-730,63370
12:47:19,420276702,-936541661,270440,99399,-730,63409
12:47:21,420276719,-936541645,270592,99403,-728,63455
12:47:24,420276786,-936541615,271190,99403,-727,63481
12:47:26,420276781,-936541598,271391,99403,-727,63468
12:47:28,420276740,-936541580,270621,99403,-725,63530
12:47:31,420276691,-936541582,269872,99403,-723,63542
12:47:33,420276654,-936541556,269652,99405,-723,63582
12:47:36,420276608,-936541537,269103,99405,-723,63628
12:47:38,420276595,-936541525,268832,99405,-724,63608
12:47:40,420276562,-936541518,268269,99407,-724,63608
12:47:43,420276508,-936541491,267682,99405,-724,63595
12:47:45,420276489,-936541480,267278,99407,-725,63543
12:47:48,420276465,-936541455,266733,99405,-724,63569
12:47:50,420276449,-936541449,266343,99407,-725,63471
12:47:52,420276447,-936541441,266225,99407,-724,63503
12:47:55,420276440,-936541441,265748,99407,-724,63489
12:47:57,420276432,-936541439,265477,99405,-726,63460
12:48:00,420276430,-936541451,264678,99409,-725,63440
12:48:02,420276431,-936541448,264262,99407,-726,63407
12:48:04,420276431,-936541455,263964,99407,-726,63407
12:48:07,420276429,-936541468,263679,99407,-725,63407
12:48:09,420276424,-936541466,263633,99407,-726,63355
12:48:12,420276434,-936541461,263588,99409,-725,63375
12:48:14,420276442,-936541462,263556,99407,-726,63309
12:48:16,420276450,-936541466,263337,99407,-725,63315
12:48:19,420276448,-936541472,263224,99407,-724,63308
12:48:24,420276450,-936541479,263307,99409,-726,63243
12:48:26,420276450,-936541475,263402,99411,-728,63233
12:48:29,420276456,-936541461,263669,99411,-729,63247
12:48:31,420276465,-936541452,263738,99409,-730,63221
12:48:33,420276469,-936541447,263891,99409,-730,63214
12:48:36,420276469,-936541440,264275,99409,-729,63208
12:48:38,420276466,-936541429,264491,99411,-730,63188
12:48:40,420276462,-936541418,264658,99413,-731,63161
12:48:43,420276449,-936541421,264803,99409,-731,63135
12:48:45,420276442,-936541435,264861,99411,-733,63112
12:48:48,420276435,-936541443,264902,99409,-732,63139
12:48:50,420276428,-936541451,264793,99407,-733,63149
12:48:52,420276425,-936541467,264714,99405,-733,63176
12:48:55,420276430,-936541508,264521,99405,-732,63195
12:48:57,420276435,-936541525,264436,99403,-732,63208
12:49:00,420276445,-936541559,264127,99401,-731,63221
12:49:02,420276449,-936541577,263954,99399,-731,63280
12:49:04,420276455,-936541589,263873,99399,-729,63320
12:49:07,420276468,-936541605,263734,99403,-728,63422
12:49:09,420276477,-936541599,263950,99403,-728,63494
12:49:12,420276479,-936541598,264144,99403,-727,63597
12:49:14,420276484,-936541595,264235,99403,-727,63683
12:49:16,420276484,-936541585,264504,99401,-725,63765
12:49:19,420276485,-936541574,264807,99401,-724,63817
12:49:21,420276485,-936541569,265086,99403,-724,63864
12:49:24,420276489,-936541569,265227,99403,-722,63893
12:49:26,420276493,-936541571,265176,99403,-723,63927
12:49:28,420276487,-936541587,265001,99401,-722,63972
12:49:31,420276480,-936541591,264854,99401,-721,64005
12:49:33,420276475,-936541605,264627,99401,-721,64078
12:49:36,420276452,-936541623,264599,99403,-721,64065
12:49:38,420276436,-936541632,264632,99403,-723,64072
12:49:40,420276428,-936541638,264693,99403,-722,64102
12:49:43,420276382,-936541652,265180,99403,-721,64102
12:49:45,420276358,-936541647,265623,99401,-722,64102
12:49:47,420276348,-936541630,266062,99403,-721,64128
12:49:50,420276349,-936541618,266223,99403,-719,64084
12:49:52,420276348,-936541600,266657,99401,-720,64078
12:49:55,420276369,-936541542,267610,99403,-719,64078
12:49:57,420276392,-936541502,268133,99401,-720,64102
12:50:00,420276395,-936541487,268350,99401,-720,64109
12:50:02,420276381,-936541499,268650,99403,-721,64102
12:50:04,420276366,-936541508,269289,99403,-720,64089
12:50:07,420276378,-936541492,270378,99405,-719,64078
12:50:09,420276389,-936541494,270370,99403,-720,64072
12:50:12,420276384,-936541518,269902,99403,-720,64052
12:50:14,420276366,-936541534,269584,99405,-721,64102
12:50:17,420276339,-936541554,269604,99403,-720,64135
